Sequence,Location,Element Length,Strand,LTR-similarity,5'LTR_pos,5'LTR_length,3'LTR_pos,3'LTR_length,TSR,Sharpness,PPT
cinara_cedri_CABPRJ010000949.1:2594386-2614880,na,na,na,na,na,na,na,na,na,na,na
cinara_cedri_CABPRJ010000965.1:915816-936385,na,na,na,na,na,na,na,na,na,na,na
cinara_cedri_CABPRJ010001327.1:1-686,na,na,na,na,na,na,na,na,na,na,na
cinara_cedri_CABPRJ010001454.1:5168-25686,na,na,na,na,na,na,na,na,na,na,na
cinara_cedri_CABPRJ010001900.1:67196-87657,na,na,na,na,na,na,na,na,na,na,na
culex_pipiens_pallens_NW_024109004.1:555841-577559,3365:12377, 9013,+,1,3365:3907,543,11835:12377,543,3360:3364/12378:12382,0.514/0.5,11742:11756
culex_pipiens_pallens_NW_024109043.1:277988-299706,na,na,na,na,na,na,na,na,na,na,na
culex_pipiens_pallens_NW_024109046.1:1044778-1066742,8576:14960, 6385,-,0.993,8576:9310,735,14223:14960,738,8571:8575/14961:14965,0.557/0.486,9331:9345
culex_pipiens_pallens_NW_024109060.1:1175102-1197015,4897:20982, 16086,-,0.994,4897:5252,356,20627:20982,356,4893:4896/20983:20986,0.486/0.457,5253:5267
culex_pipiens_pallens_NW_024109077.1:813205-834923,9343:18339, 8997,-,1,9343:9885,543,17797:18339,543,9338:9342/18340:18344,0.543/0.471,9964:9978
culex_pipiens_pallens_NW_024109200.1:1-12385,19:9012, 8994,-,1,19:551,533,8480:9012,533,14:18/9013:9017,1/0.514,630:644
culex_pipiens_pallens_NW_024109213.1:526597-548510,1693:13249, 11557,+,1,1693:2402,710,12540:13249,710,1688:1692/13250:13254,0.443/0.5,12452:12466
culex_pipiens_pallens_NW_024109334.1:351915-373633,9343:18359, 9017,-,1,9343:9885,543,17817:18359,543,9338:9342/18360:18364,0.457/0.543,9964:9978
culex_pipiens_pallens_NW_024109674.1:1-15641,na,na,na,na,na,na,na,na,na,na,na
culex_pipiens_pallens_NW_024109703.1:104229-126052,8826:17791, 8966,+,0.995,8826:9029,204,17588:17791,204,8821:8825/17792:17796,0.443/0.543,17573:17587
culex_pipiens_pallens_NW_024109703.1:109075-130058,3980:12945, 8966,+,0.995,3980:4183,204,12742:12945,204,3975:3979/12946:12950,0.443/0.543,12727:12741
culex_pipiens_pallens_NW_024109766.1:135893-157053,3246:12387, 9142,+,0.997,3246:3589,344,12044:12387,344,3241:3245/12388:12392,0.543/0.557,11990:12004
culex_pipiens_pallens_NW_024110117.1:1-12354,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017274651.1:1-1623,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017274692.1:1-1754,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017275046.1:45309-67375,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017275161.1:35989-58028,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017275161.1:36046-57308,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017275173.1:8147-29499,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017275314.1:1-12858,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017275315.1:1115609-1137318,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017275547.1:6327-28330,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017275977.1:1-16138,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017276402.1:59722-81725,2332:13645, 11314,+,0.994,2332:3921,1590,12056:13645,1590,2328:2331/13646:13649,0.414/0.471,12041:12055
cyphomyrmex_costatus_NW_017276608.1:1-13335,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017276801.1:1-14728,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017276947.1:1-20972,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017277232.1:96879-117661,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017277578.1:24303-46321,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017277687.1:22367-44136,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017277720.1:79783-100622,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017278716.1:1981-23945,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017278716.1:2026-24005,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017279084.1:95760-117679,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017279244.1:502025-523881,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017279343.1:2274-17755,4340:9613, 5274,+,0.946,4340:4982,643,8971:9613,643,4335:4339/9614:9618,0.5/0.5,8927:8941
cyphomyrmex_costatus_NW_017279637.1:9478-31490,3071:13594, 10524,+,0.999,3071:4617,1547,12048:13594,1547,3067:3070/13595:13598,0.5/0.543,11990:12004
cyphomyrmex_costatus_NW_017279671.1:8758-29798,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017279900.1:2276-24261,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017280214.1:140654-161463,na,na,na,na,na,na,na,na,na,na,na
cyphomyrmex_costatus_NW_017280575.1:11196-33208,3071:13594, 10524,+,0.996,3071:4617,1547,12048:13594,1547,3067:3070/13595:13598,0.543/0.514,11990:12004
cyphomyrmex_costatus_NW_017280585.1:2668-24323,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680380.1:312721-334298,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680380.1:322284-343861,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680383.1:305850-327427,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680394.1:389647-403825,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680423.1:83560-105137,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680444.1:1-11384,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680444.1:258578-279972,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680450.1:33212-54780,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680456.1:182768-204339,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680456.1:643118-664692,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680458.1:137869-159344,5:15652, 15648,+,0.993,5:956,952,14701:15652,952,NOTFOUND,1/0.486,14634:14648
diachasma_alloeum_NW_021680458.1:244519-265904,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680470.1:1-20251,33:12265, 12233,+,0.972,33:1286,1254,11012:12265,1254,NOTFOUND,1/0.429,10983:10997
diachasma_alloeum_NW_021680489.1:404308-425594,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680496.1:585162-597517,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680578.1:94019-115440,1970:14468, 12499,-,0.972,1970:3801,1832,12657:14468,1812,1966:1969/14469:14472,0.514/0.486,3834:3848
diachasma_alloeum_NW_021680643.1:102434-124008,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680654.1:87945-109519,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680662.1:193109-214686,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680662.1:34350-55918,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680700.1:29016-50596,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680731.1:81482-103059,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680762.1:81450-103027,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680791.1:186185-207762,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680801.1:102450-123784,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680810.1:112795-134129,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680886.1:56031-77500,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021680939.1:1-21180,16346:18130, 1785,+,0.865,16346:16452,107,18020:18130,111,16342:16345/18131:18134,0.529/0.486,17927:17941
diachasma_alloeum_NW_021680988.1:72166-93743,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021681033.1:71537-92979,7737:19087, 11351,-,0.939,7737:9446,1710,17452:19087,1636,7733:7736/19088:19091,0.514/0.457,9517:9531
diachasma_alloeum_NW_021681046.1:165270-177730,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021681065.1:105293-126870,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021681066.1:9759-31339,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021681102.1:1-16891,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021681230.1:25563-47131,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021681243.1:1456-7754,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021681288.1:9324-26281,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021681610.1:27848-12573,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021682277.1:14146-1662,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021682799.1:2980-3824,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021683279.1:9568-9712,na,na,na,na,na,na,na,na,na,na,na
diachasma_alloeum_NW_021683358.1:21598-22767,na,na,na,na,na,na,na,na,na,na,na
eufriesea_mexicana_NW_016907970.1:271392-292669,na,na,na,na,na,na,na,na,na,na,na
eufriesea_mexicana_NW_016908258.1:98346-119551,na,na,na,na,na,na,na,na,na,na,na
eufriesea_mexicana_NW_016909960.1:387551-408741,na,na,na,na,na,na,na,na,na,na,na
eufriesea_mexicana_NW_016914852.1:8188-29459,na,na,na,na,na,na,na,na,na,na,na
eufriesea_mexicana_NW_016922283.1:1589513-1610781,na,na,na,na,na,na,na,na,na,na,na
eufriesea_mexicana_NW_016935052.1:1-7159,na,na,na,na,na,na,na,na,na,na,na
habropoda_laboriosa_NW_017100133.1:26349-47869,2733:13168, 10436,+,0.977,2733:3871,1139,12007:13168,1162,2729:2732/13169:13172,0.443/0.471,11992:12006
habropoda_laboriosa_NW_017100133.1:27087-48019,1995:12430, 10436,+,0.977,1995:3133,1139,11269:12430,1162,1991:1994/12431:12434,0.443/0.471,11254:11268
habropoda_laboriosa_NW_017100133.1:34843-55991,na,na,na,na,na,na,na,na,na,na,na
habropoda_laboriosa_NW_017100158.1:335788-350905,na,na,na,na,na,na,na,na,na,na,na
habropoda_laboriosa_NW_017100159.1:434174-455103,na,na,na,na,na,na,na,na,na,na,na
habropoda_laboriosa_NW_017100283.1:25130-46059,na,na,na,na,na,na,na,na,na,na,na
habropoda_laboriosa_NW_017100326.1:56277-78316,na,na,na,na,na,na,na,na,na,na,na
habropoda_laboriosa_NW_017100542.1:117724-139301,na,na,na,na,na,na,na,na,na,na,na
habropoda_laboriosa_NW_017100814.1:103119-116698,na,na,na,na,na,na,na,na,na,na,na
habropoda_laboriosa_NW_017100933.1:1759-9271,na,na,na,na,na,na,na,na,na,na,na
habropoda_laboriosa_NW_017101288.1:13477-15216,na,na,na,na,na,na,na,na,na,na,na
habropoda_laboriosa_NW_017101288.1:16759-17804,na,na,na,na,na,na,na,na,na,na,na
habropoda_laboriosa_NW_017101665.1:26247-172,na,na,na,na,na,na,na,na,na,na,na
habropoda_laboriosa_NW_017102269.1:2213-18,na,na,na,na,na,na,na,na,na,na,na
habropoda_laboriosa_NW_017102571.1:2017-1805,na,na,na,na,na,na,na,na,na,na,na
habropoda_laboriosa_NW_017104050.1:3162-94,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229876.1:1-14226,1556:8540, 6985,-,0.976,1556:2500,945,7595:8540,946,1552:1555/8541:8544,0.429/0.443,2501:2515
harpegnathos_saltator_NW_020229876.1:32814-54541,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229899.1:222601-244148,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229917.1:686740-708425,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229920.1:40437-62161,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229932.1:16410-37708,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229932.1:17295-38029,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229932.1:1-19446,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229937.1:6079-26693,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229937.1:18248-38862,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229946.1:1138074-1159537,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229948.1:665805-686527,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229960.1:1-14057,2:13604, 13603,-,0.977,2:956,955,12640:13604,965,NOTFOUND,1/0.514,957:971
harpegnathos_saltator_NW_020229972.1:1-12426,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229972.1:1-13446,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229991.1:196514-217824,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229995.1:134876-153584,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020229995.1:135197-153584,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230004.1:221725-242453,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230004.1:231645-243816,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230016.1:128343-149071,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230032.1:113519-128733,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230032.1:114572-128733,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230045.1:578-22269,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230046.1:37969-59696,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230053.1:19406-40743,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230058.1:277475-298935,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230066.1:1-11220,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230066.1:73054-91720,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230068.1:196414-217097,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230075.1:6144-27835,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230075.1:88500-105200,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230076.1:1-12903,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230076.1:1-13224,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230098.1:75562-96947,2889:13251, 10363,+,0.992,2889:3541,653,12599:13251,653,2885:2888/13252:13255,0.514/0.5,12584:12598
harpegnathos_saltator_NW_020230104.1:1-14346,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230119.1:1-15320,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230121.1:7936-26579,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230125.1:1-15299,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230140.1:66716-88173,1137:13745, 12609,+,0.998,1137:2385,1249,12497:13745,1249,1133:1136/13746:13749,0.6/0.486,12482:12496
harpegnathos_saltator_NW_020230144.1:1-12156,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230150.1:1-12922,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230159.1:19375-40058,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230163.1:295360-313191,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230163.1:296413-313191,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230163.1:76064-96792,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230166.1:255575-277092,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230176.1:2817-24277,6369:20700, 14332,-,0.995,6369:8272,1904,18797:20700,1904,6365:6368/20701:20704,0.471/0.514,8273:8287
harpegnathos_saltator_NW_020230176.1:3018-23962,6168:20499, 14332,-,0.995,6168:8071,1904,18596:20499,1904,6164:6167/20500:20503,0.471/0.514,8072:8086
harpegnathos_saltator_NW_020230194.1:208097-228822,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230195.1:63438-84163,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230200.1:224132-236568,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230206.1:201876-216209,2963:13472, 10510,+,0.922,2963:4093,1131,12311:13472,1162,NOTFOUND,0.443/0.5,12266:12280
harpegnathos_saltator_NW_020230212.1:137266-151580,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230224.1:9-18143,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230229.1:170048-186793,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230234.1:1-16464,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230243.1:163997-185334,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230253.1:81074-93940,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230291.1:1-12133,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230292.1:34282-50237,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230292.1:35500-50237,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230314.1:1224-22915,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230314.1:1-15926,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230316.1:119983-140711,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230316.1:120304-141764,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230316.1:614844-635572,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230316.1:847739-868464,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230318.1:1-16461,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230338.1:1-16607,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230345.1:192595-214322,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230345.1:193009-213929,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230369.1:1-15863,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230381.1:1-10656,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230394.1:25562-45620,7334:20029, 12696,-,0.967,7334:7543,210,19818:20029,212,NOTFOUND,0.529/1,7628:7642
harpegnathos_saltator_NW_020230399.1:1-13877,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230402.1:1-17758,8579:14103, 5525,+,0.993,8579:8871,293,13811:14103,293,8573:8578/14104:14109,0.557/0.557,13796:13810
harpegnathos_saltator_NW_020230411.1:26907-48367,6484:21052, 14569,-,0.971,6484:8342,1859,19180:21052,1873,NOTFOUND,0.5/0.443,8343:8357
harpegnathos_saltator_NW_020230415.1:1410245-1430970,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230418.1:1-13509,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230423.1:94422-115906,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230461.1:1-20167,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230463.1:2868-17647,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230471.1:62210-83901,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230484.1:15975-30417,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230484.1:16179-30417,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230493.1:381240-402655,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230493.1:49006-70502,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230500.1:27083-42440,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230519.1:139179-160870,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230519.1:170990-191712,2535:13828, 11294,+,0.919,2535:4094,1560,12247:13828,1582,NOTFOUND,0.686/0.443,12215:12229
harpegnathos_saltator_NW_020230519.1:176590-195243,8244:18590, 10347,+,0.974,8244:9883,1640,16952:18590,1639,8240:8243/18591:18594,0.529/1,16897:16911
harpegnathos_saltator_NW_020230528.1:733301-754764,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230528.1:734357-755085,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230551.1:125995-140722,2965:13338, 10374,+,0.961,2965:3618,654,12667:13338,672,2961:2964/13339:13342,0.529/0.457,12652:12666
harpegnathos_saltator_NW_020230556.1:90027-110965,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230556.1:89736-111226,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230560.1:663929-678664,699:14724, 14026,+,0.986,699:2022,1324,13400:14724,1325,NOTFOUND,0.471/1,13385:13399
harpegnathos_saltator_NW_020230560.1:664250-678664,378:14403, 14026,+,0.986,378:1701,1324,13079:14403,1325,NOTFOUND,0.471/1,13064:13078
harpegnathos_saltator_NW_020230571.1:1-12981,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230571.1:1-13059,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230577.1:1-13014,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230579.1:1-13541,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230579.1:1-14759,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230579.1:40415-53639,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230582.1:867030-888487,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230585.1:78731-99459,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230596.1:31975-52697,3410:12711, 9302,+,0.842,3410:3653,244,12521:12711,191,NOTFOUND,0.614/0.529,12472:12486
harpegnathos_saltator_NW_020230596.1:31975-52697,3410:12786, 9377,+,0.77,3410:3653,244,12521:12786,266,NOTFOUND,0.614/0.5,12472:12486
harpegnathos_saltator_NW_020230596.1:31975-52697,3485:12711, 9227,+,0.853,3485:3653,169,12521:12711,191,NOTFOUND,0.614/0.7,12472:12486
harpegnathos_saltator_NW_020230603.1:1-13233,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230607.1:108221-122456,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230607.1:109274-122456,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230610.1:23315-44712,3658:9180, 5523,-,0.976,3658:3949,292,8888:9180,293,3654:3657/9181:9184,0.443/0.557,3950:3964
harpegnathos_saltator_NW_020230611.1:65098-77231,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230621.1:1-12576,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230623.1:29116-44079,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230626.1:5441-27057,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230643.1:1-13992,5080:9985, 4906,-,1,5080:5364,285,9701:9985,285,5074:5079/9986:9991,0.543/0.586,5365:5379
harpegnathos_saltator_NW_020230665.1:1-19796,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230700.1:1574255-1590046,na,na,na,na,na,na,na,na,na,na,na
harpegnathos_saltator_NW_020230700.1:1575308-1590046,na,na,na,na,na,na,na,na,na,na,na
heligmosomoides_polygyrus_FMJQ01000052.1:340083-362053,na,na,na,na,na,na,na,na,na,na,na
heligmosomoides_polygyrus_FMJQ01001183.1:162950-174317,na,na,na,na,na,na,na,na,na,na,na
hyalella_azteca_NW_017249818.1:122080-144179,na,na,na,na,na,na,na,na,na,na,na
lasius_niger_LBMM01004455.1:1-14290,na,na,na,na,na,na,na,na,na,na,na
lasius_niger_LBMM01007617.1:1-8448,na,na,na,na,na,na,na,na,na,na,na
lasius_niger_LBMM01008064.1:1-7907,na,na,na,na,na,na,na,na,na,na,na
lasius_niger_LBMM01008064.1:1-7907,na,na,na,na,na,na,na,na,na,na,na
lasius_niger_LBMM01008323.1:1-7613,na,na,na,na,na,na,na,na,na,na,na
lasius_niger_LBMM01009292.1:1-6629,na,na,na,na,na,na,na,na,na,na,na
lasius_niger_LBMM01010657.1:1-5587,na,na,na,na,na,na,na,na,na,na,na
lasius_niger_LBMM01011353.1:1-5137,na,na,na,na,na,na,na,na,na,na,na
lasius_niger_LBMM01012068.1:1-4741,na,na,na,na,na,na,na,na,na,na,na
lasius_niger_LBMM01013192.1:1-4139,na,na,na,na,na,na,na,na,na,na,na
lasius_niger_LBMM01014322.1:1-3646,na,na,na,na,na,na,na,na,na,na,na
lasius_niger_LBMM01015550.1:1-3197,na,na,na,na,na,na,na,na,na,na,na
lasius_niger_LBMM01016047.1:1-3024,na,na,na,na,na,na,na,na,na,na,na
lasius_niger_LBMM01018890.1:1-2237,na,na,na,na,na,na,na,na,na,na,na
leptinotarsa_decemlineata_NW_019291774.1:52358-72249,na,na,na,na,na,na,na,na,na,na,na
leptinotarsa_decemlineata_NW_019293082.1:6662-28632,na,na,na,na,na,na,na,na,na,na,na
leptinotarsa_decemlineata_NW_019297909.1:1-5241,na,na,na,na,na,na,na,na,na,na,na
monomorium_pharaonis_NC_050467.1:14762714-14784741,na,na,na,na,na,na,na,na,na,na,na
monomorium_pharaonis_NC_050467.1:15387722-15409533,na,na,na,na,na,na,na,na,na,na,na
monomorium_pharaonis_NC_050467.1:15437447-15459573,na,na,na,na,na,na,na,na,na,na,na
monomorium_pharaonis_NC_050467.1:27696364-27718427,na,na,na,na,na,na,na,na,na,na,na
monomorium_pharaonis_NC_050467.1:30529541-30551568,na,na,na,na,na,na,na,na,na,na,na
monomorium_pharaonis_NC_050467.1:33734511-33756322,na,na,na,na,na,na,na,na,na,na,na
monomorium_pharaonis_NC_050467.1:33747655-33769604,na,na,na,na,na,na,na,na,na,na,na
