Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#220 - >seq4219	superfamily	417494	438	557	9.77669e-57	191552	cl14782	RNase_H_like superfamily	 - 	 - 
Q#220 - >seq4219	superfamily	407771	872	929	4.17452e-15	70.7538	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#220 - >seq4219	superfamily	411202	927	1098	1.24107e-08	57.6008	cl41329	transpos_IS481 superfamily	N	 - 
Q#223 - >seq4222	superfamily	404992	73	134	2.46861e-13	62.6481	cl26047	Retrotran_gag_2 superfamily	C	 - 
Q#234 - >seq4233	superfamily	404992	73	134	2.46861e-13	62.6481	cl26047	Retrotran_gag_2 superfamily	C	 - 
Q#235 - >seq4234	superfamily	407771	337	394	2.37244e-15	70.7538	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#235 - >seq4234	superfamily	411202	392	563	1.52352e-08	56.4452	cl41329	transpos_IS481 superfamily	N	 - 
Q#236 - >seq4235	superfamily	411202	25	152	3.69222e-07	50282	cl41329	transpos_IS481 superfamily	N	 - 
Q#237 - >seq4236	superfamily	417494	300	427	7.40556e-51	168.03	cl14782	RNase_H_like superfamily	 - 	 - 
Q#237 - >seq4236	superfamily	400190	51	213	1.16907e-33	126167	cl06662	RVT_2 superfamily	N	 - 
Q#238 - >seq4237	superfamily	419726	37	134	1.37565e-09	54254	cl21549	rve superfamily	 - 	 - 
Q#247 - >seq4246	superfamily	421697	71	107	8.11943e-06	39992	cl28914	CD_CSD superfamily	C	 - 
Q#249 - >seq4248	superfamily	407771	72	95	5.85644e-05	38397	cl39036	Integrase_H2C2 superfamily	N	 - 
Q#250 - >seq4249	superfamily	411202	10	154	1.40191e-07	50282	cl41329	transpos_IS481 superfamily	N	 - 
Q#255 - >seq4254	superfamily	173561	31	83	0.000180571	38.2493	cl31762	PTZ00368 superfamily	N	 - 
Q#256 - >seq4255	superfamily	412407	17	218	2.29983e-58	186729	cl00490	EEP superfamily	 - 	 - 
Q#257 - >seq4256	superfamily	413489	139	373	5.98036e-42	146667	cl02808	RT_like superfamily	 - 	 - 
Q#270 - >seq4269	superfamily	285583	30	68	1.55734e-05	40.6124	cl07135	Parvo_coat_N superfamily	C	 - 
Q#275 - >seq4274	superfamily	413489	104	244	8.17213e-66	201.67	cl02808	RT_like superfamily	C	 - 
Q#276 - >seq4275	superfamily	407769	96	194	1.39689e-48	154185	cl39038	RT_RNaseH_2 superfamily	 - 	 - 
Q#276 - >seq4275	superfamily	413489	2	33	2.48133e-06	46.0493	cl02808	RT_like superfamily	N	 - 
Q#277 - >seq4276	superfamily	411202	275	447	2.91501e-17	81.4831	cl41329	transpos_IS481 superfamily	N	 - 
Q#277 - >seq4276	superfamily	407771	221	278	2.67954e-15	69.9834	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#279 - >seq4278	superfamily	412125	187	254	1.49596e-14	66.9055	cl00035	BIR superfamily	 - 	 - 
Q#281 - >seq4280	superfamily	412125	2	41	1.22378e-12	57.6607	cl00035	BIR superfamily	N	 - 
Q#282 - >seq4281	superfamily	418438	68	115	8.24746e-10	50.5387	cl17238	RING_Ubox superfamily	 - 	 - 
Q#290 - >seq4289	superfamily	413444	148	185	0.00291136	35.0178	cl02703	zf-BED superfamily	 - 	 - 
Q#292 - >seq4291	superfamily	399013	127	203	3.93383e-14	64.9753	cl05324	Dimer_Tnp_hAT superfamily	 - 	 - 
Q#297 - >seq4296	superfamily	173561	415	514	0.000124252	42.1013	cl31762	PTZ00368 superfamily	 - 	 - 
Q#298 - >seq4297	superfamily	413489	305	486	4.45012e-84	264072	cl02808	RT_like superfamily	 - 	 - 
Q#298 - >seq4297	superfamily	417494	580	699	1.00664e-57	191937	cl14782	RNase_H_like superfamily	 - 	 - 
Q#299 - >seq4298	superfamily	411202	221	377	2.75819e-10	61.0676	cl41329	transpos_IS481 superfamily	N	 - 
Q#307 - >seq4306	superfamily	185628	42	98	0.000228985	38.5174	cl33186	PTZ00449 superfamily	NC	 - 
Q#315 - >seq4314	superfamily	418438	67	113	0.00021887	36.71	cl17238	RING_Ubox superfamily	N	 - 
Q#316 - >seq4315	superfamily	412125	9	78	3.20223e-16	69.9871	cl00035	BIR superfamily	 - 	 - 
Q#316 - >seq4315	superfamily	418438	165	212	1.05301e-10	55.1611	cl17238	RING_Ubox superfamily	 - 	 - 
Q#317 - >seq4316	superfamily	418438	129	170	5.5998e-07	44.3755	cl17238	RING_Ubox superfamily	 - 	 - 
Q#317 - >seq4316	superfamily	412125	9	57	0.000100621	38.7838	cl00035	BIR superfamily	C	 - 
Q#323 - >seq4322	superfamily	371998	198	391	3.3599e-09	59.5863	cl13666	Baculo_F superfamily	NC	 - 
Q#329 - >seq4328	superfamily	413458	116	184	3.56622e-15	66.4457	cl02754	zf-LITAF-like superfamily	 - 	 - 
Q#330 - >seq4329	superfamily	412125	34	103	4.32463e-15	63.8239	cl00035	BIR superfamily	 - 	 - 
Q#331 - >seq4330	superfamily	418438	83	130	2.51625e-11	54.7759	cl17238	RING_Ubox superfamily	 - 	 - 
Q#338 - >seq4337	superfamily	371998	112	294	5.11653e-06	49.9563	cl13666	Baculo_F superfamily	NC	 - 
Q#347 - >seq4346	superfamily	173561	275	368	0.00594125	37.0937	cl31762	PTZ00368 superfamily	N	 - 
Q#349 - >seq4348	superfamily	413489	65	132	2.27506e-11	58.5132	cl02808	RT_like superfamily	C	 - 
Q#350 - >seq4349	superfamily	417494	64	183	3.94419e-57	175759	cl14782	RNase_H_like superfamily	 - 	 - 
Q#351 - >seq4350	superfamily	407771	262	315	6.55881e-14	65361	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#352 - >seq4351	superfamily	411202	2	172	1.16232e-09	56.4452	cl41329	transpos_IS481 superfamily	N	 - 
Q#359 - >seq4358	superfamily	391808	33	175	0.000194294	41.5607	cl28058	DNA_pol_B_2 superfamily	NC	 - 
Q#363 - >seq4362	superfamily	173561	418	525	3.51079e-06	46.7237	cl31762	PTZ00368 superfamily	N	 - 
Q#364 - >seq4363	superfamily	413489	349	410	1.10207e-09	57.7428	cl02808	RT_like superfamily	C	 - 
Q#365 - >seq4364	superfamily	413489	5	142	2.31458e-65	217848	cl02808	RT_like superfamily	N	 - 
Q#365 - >seq4364	superfamily	417494	236	355	3.30582e-55	186.93	cl14782	RNase_H_like superfamily	 - 	 - 
Q#365 - >seq4364	superfamily	407771	686	743	4.94949e-13	64.5906	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#365 - >seq4364	superfamily	411202	741	912	2.44735e-07	53.3636	cl41329	transpos_IS481 superfamily	N	 - 
Q#371 - >seq4370	superfamily	413489	328	508	3.54775e-86	272547	cl02808	RT_like superfamily	 - 	 - 
Q#371 - >seq4370	superfamily	417494	602	721	1.93637e-58	195404	cl14782	RNase_H_like superfamily	 - 	 - 
Q#371 - >seq4370	superfamily	416259	27	114	0.00773029	36.5456	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#374 - >seq4373	superfamily	407771	288	345	3.23617e-19	81.5394	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#374 - >seq4373	superfamily	411202	345	517	6.70359e-10	60.2972	cl41329	transpos_IS481 superfamily	N	 - 
Q#380 - >seq4379	superfamily	375164	1	178	0.000188323	43.5737	cl38662	DUF5401 superfamily	NC	 - 
Q#381 - >seq4380	superfamily	404983	1	95	1.25073e-45	151649	cl16715	Helitron_like_N superfamily	N	 - 
Q#383 - >seq4382	superfamily	421690	60	402	3.23453e-105	318932	cl28899	DEAD-like_helicase_N superfamily	 - 	 - 
Q#383 - >seq4382	superfamily	365791	449	490	6.05807e-12	61.4235	cl38915	DEAD-like_helicase_C superfamily	N	 - 
Q#383 - >seq4382	superfamily	235175	9	73	0.0037918	40.0472	cl35229	PRK03918 superfamily	NC	 - 
Q#387 - >seq4386	superfamily	421690	3	92	7.51003e-18	77.7967	cl28899	DEAD-like_helicase_N superfamily	N	 - 
Q#388 - >seq4387	superfamily	288840	64	304	7.32131e-15	72.1459	cl20443	Tnp_P_element superfamily	 - 	 - 
Q#395 - >seq4394	superfamily	407771	37	89	0.000992853	34545	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#396 - >seq4395	superfamily	407771	6	29	0.000120252	39.1674	cl39036	Integrase_H2C2 superfamily	N	 - 
Q#396 - >seq4395	superfamily	419726	70	144	0.00428011	35.7645	cl21549	rve superfamily	N	 - 
Q#402 - >seq4401	superfamily	413489	350	414	4.21772e-14	70.8396	cl02808	RT_like superfamily	C	 - 
Q#403 - >seq4402	superfamily	413489	1	153	8.00735e-69	212841	cl02808	RT_like superfamily	 - 	 - 
Q#403 - >seq4402	superfamily	407767	241	334	2.20293e-45	149963	cl39037	RT_RNaseH superfamily	 - 	 - 
Q#404 - >seq4403	superfamily	417494	1	18	0.00151681	36.7017	cl14782	RNase_H_like superfamily	N	 - 
Q#407 - >seq4406	superfamily	407771	7	46	1.45612e-09	53.4198	cl39036	Integrase_H2C2 superfamily	N	 - 
Q#407 - >seq4406	superfamily	411202	44	212	7.86461e-07	49.8968	cl41329	transpos_IS481 superfamily	N	 - 
Q#413 - >seq4412	superfamily	413489	34	131	7.32291e-39	138882	cl02808	RT_like superfamily	N	 - 
Q#413 - >seq4412	superfamily	407769	194	293	1.92492e-38	134925	cl39038	RT_RNaseH_2 superfamily	 - 	 - 
Q#416 - >seq4415	superfamily	407771	228	286	9.39011e-17	72.6798	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#417 - >seq4416	superfamily	411202	4	146	9.46367e-09	53.7488	cl41329	transpos_IS481 superfamily	N	 - 
Q#421 - >seq4420	superfamily	418551	16	61	9.5992e-05	38.7944	cl19237	DUF45 superfamily	N	 - 
Q#430 - >seq4429	superfamily	416259	19	157	1.56173e-18	80.7431	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#431 - >seq4430	superfamily	413489	30	152	1.16229e-47	153614	cl02808	RT_like superfamily	C	 - 
Q#433 - >seq4432	superfamily	419726	59	125	4.74505e-05	42.6981	cl21549	rve superfamily	N	 - 
Q#434 - >seq4433	superfamily	413489	1	145	4.25692e-68	225552	cl02808	RT_like superfamily	 - 	 - 
Q#434 - >seq4433	superfamily	417494	239	358	3.64974e-57	192708	cl14782	RNase_H_like superfamily	 - 	 - 
Q#434 - >seq4433	superfamily	407771	673	730	1.44224e-15	71.5242	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#434 - >seq4433	superfamily	411202	728	899	2.46476e-08	56.4452	cl41329	transpos_IS481 superfamily	N	 - 
Q#446 - >seq4445	superfamily	227414	117	233	0.00211249	37908	cl34894	AIR1 superfamily	NC	 - 
Q#447 - >seq4446	superfamily	416259	65	147	0.000346232	38.3224	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#448 - >seq4447	superfamily	413489	148	324	1.32879e-85	255213	cl02808	RT_like superfamily	 - 	 - 
Q#451 - >seq4450	superfamily	411202	17	188	2.3889e-12	64.5344	cl41329	transpos_IS481 superfamily	N	 - 
Q#457 - >seq4456	superfamily	357684	85	151	0.000622343	40.9202	cl30808	PHA00368 superfamily	N	 - 
Q#460 - >seq4459	superfamily	413489	374	555	7.84276e-86	264843	cl02808	RT_like superfamily	 - 	 - 
Q#462 - >seq4461	superfamily	411202	17	187	3.48404e-08	53.7488	cl41329	transpos_IS481 superfamily	N	 - 
Q#477 - >seq4476	superfamily	413489	50	228	3.35465e-86	254442	cl02808	RT_like superfamily	 - 	 - 
Q#478 - >seq4477	superfamily	417494	40	158	1.00087e-59	181537	cl14782	RNase_H_like superfamily	 - 	 - 
Q#481 - >seq4480	superfamily	419726	52	97	0.0018424	35.3793	cl21549	rve superfamily	C	 - 
Q#482 - >seq4481	superfamily	411202	10	93	0.00428843	36.0296	cl41329	transpos_IS481 superfamily	N	 - 
Q#491 - >seq4490	superfamily	281552	148	288	1.12655e-35	129103	cl04160	DUF1759 superfamily	 - 	 - 
Q#491 - >seq4490	superfamily	173561	358	428	0.00205717	38.6345	cl31762	PTZ00368 superfamily	NC	 - 
Q#493 - >seq4492	superfamily	416259	90	205	1.59389e-11	60.3275	cl11403	pepsin_retropepsin_like superfamily	C	 - 
Q#495 - >seq4494	superfamily	398835	84	227	7.27557e-65	198.06	cl05112	Peptidase_A17 superfamily	 - 	 - 
Q#495 - >seq4494	superfamily	413489	17	68	0.00950088	36.1285	cl02808	RT_like superfamily	N	 - 
Q#498 - >seq4497	superfamily	173561	271	368	9.2388e-06	45.1829	cl31762	PTZ00368 superfamily	N	 - 
Q#499 - >seq4498	superfamily	413489	373	554	5.60477e-88	269.85	cl02808	RT_like superfamily	 - 	 - 
Q#500 - >seq4499	superfamily	407771	294	351	1.86886e-15	70.7538	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#500 - >seq4499	superfamily	411202	349	520	1.40307e-08	56.4452	cl41329	transpos_IS481 superfamily	N	 - 
Q#506 - >seq4505	superfamily	281552	195	340	7.51184e-24	95.5904	cl04160	DUF1759 superfamily	 - 	 - 
Q#507 - >seq4506	superfamily	416259	65	217	4.21994e-22	90.7583	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#508 - >seq4507	superfamily	398835	245	405	1.33644e-71	225409	cl05112	Peptidase_A17 superfamily	 - 	 - 
Q#508 - >seq4507	superfamily	413489	17	230	6.39658e-55	183.66	cl02808	RT_like superfamily	 - 	 - 
Q#508 - >seq4507	superfamily	406426	460	507	0.00126951	37693	cl24550	Anillin_N superfamily	C	 - 
Q#509 - >seq4508	superfamily	411181	70	290	5.69984e-12	65.3029	cl41315	transpos_IS21 superfamily	N	 - 
Q#509 - >seq4508	superfamily	407771	36	91	2.04548e-09	53.0346	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#509 - >seq4508	superfamily	408478	317	349	7.74936e-07	46.6977	cl40017	DUF5641 superfamily	C	 - 
Q#514 - >seq4513	superfamily	400190	533	608	2.53201e-09	59.1427	cl06662	RVT_2 superfamily	N	 - 
Q#515 - >seq4514	superfamily	417494	463	599	2.28234e-46	159941	cl14782	RNase_H_like superfamily	 - 	 - 
Q#517 - >seq4516	superfamily	413489	373	554	1.02383e-76	249049	cl02808	RT_like superfamily	 - 	 - 
Q#517 - >seq4516	superfamily	417494	649	767	4.31773e-54	183848	cl14782	RNase_H_like superfamily	 - 	 - 
Q#518 - >seq4517	superfamily	411202	4	160	1.23278e-08	54134	cl41329	transpos_IS481 superfamily	N	 - 
Q#523 - >seq4522	superfamily	417494	199	317	1.18859e-60	201952	cl14782	RNase_H_like superfamily	 - 	 - 
Q#523 - >seq4522	superfamily	413489	1	104	1.21814e-46	164691	cl02808	RT_like superfamily	N	 - 
Q#523 - >seq4522	superfamily	407771	593	651	2.89357e-16	73.4502	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#523 - >seq4522	superfamily	411202	648	790	6.47742e-16	79.1719	cl41329	transpos_IS481 superfamily	N	 - 
Q#524 - >seq4523	superfamily	412125	195	263	4.37358e-15	69.2684	cl00035	BIR superfamily	 - 	 - 
Q#526 - >seq4525	superfamily	413458	65	133	4.90814e-14	62.2085	cl02754	zf-LITAF-like superfamily	 - 	 - 
Q#527 - >seq4526	superfamily	412125	174	223	6.80823e-11	56503	cl00035	BIR superfamily	C	 - 
Q#528 - >seq4527	superfamily	412125	3	49	7.09336e-12	58.4311	cl00035	BIR superfamily	N	 - 
Q#528 - >seq4527	superfamily	418438	163	210	1.18686e-11	57.4723	cl17238	RING_Ubox superfamily	 - 	 - 
Q#533 - >seq4532	superfamily	371998	277	459	1.82954e-09	60.7419	cl13666	Baculo_F superfamily	NC	 - 
Q#540 - >seq4539	superfamily	227414	133	222	0.00790448	36.3672	cl34894	AIR1 superfamily	C	 - 
Q#541 - >seq4540	superfamily	413489	332	513	6.18467e-84	265613	cl02808	RT_like superfamily	 - 	 - 
Q#541 - >seq4540	superfamily	417494	608	726	8.07628e-60	198486	cl14782	RNase_H_like superfamily	 - 	 - 
Q#542 - >seq4541	superfamily	411202	170	342	6.07179e-21	91.8835	cl41329	transpos_IS481 superfamily	N	 - 
Q#542 - >seq4541	superfamily	407771	115	173	3.73111e-16	71.9094	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#543 - >seq4542	superfamily	412125	227	291	3.60767e-19	80.0023	cl00035	BIR superfamily	 - 	 - 
Q#544 - >seq4543	superfamily	412125	55	112	3.87111e-08	48.0286	cl00035	BIR superfamily	 - 	 - 
Q#545 - >seq4544	superfamily	412125	9	77	1.52866e-18	75763	cl00035	BIR superfamily	 - 	 - 
Q#545 - >seq4544	superfamily	418438	161	207	1.49282e-05	41.3324	cl17238	RING_Ubox superfamily	N	 - 
Q#546 - >seq4545	superfamily	412125	9	78	3.67467e-16	69.9871	cl00035	BIR superfamily	 - 	 - 
Q#546 - >seq4545	superfamily	418438	165	212	1.58916e-11	57.4723	cl17238	RING_Ubox superfamily	 - 	 - 
Q#547 - >seq4546	superfamily	418438	127	170	3.23081e-07	45.1459	cl17238	RING_Ubox superfamily	 - 	 - 
Q#547 - >seq4546	superfamily	412125	5	70	3.84833e-05	39.9932	cl00035	BIR superfamily	 - 	 - 
Q#554 - >seq4553	superfamily	371998	218	411	1.11642e-08	57.2751	cl13666	Baculo_F superfamily	NC	 - 
Q#563 - >seq4562	superfamily	413489	7	91	1.69062e-10	56.9158	cl02808	RT_like superfamily	N	 - 
Q#570 - >seq4569	superfamily	413489	296	477	4.26566e-84	272161	cl02808	RT_like superfamily	 - 	 - 
Q#570 - >seq4569	superfamily	417494	571	690	9.07906e-57	191937	cl14782	RNase_H_like superfamily	 - 	 - 
Q#570 - >seq4569	superfamily	407771	1005	1062	3.00914e-15	71139	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#570 - >seq4569	superfamily	411202	1060	1231	3.3948e-08	56.4452	cl41329	transpos_IS481 superfamily	N	 - 
Q#573 - >seq4572	superfamily	413489	127	207	0.000229613	40.6473	cl02808	RT_like superfamily	NC	 - 
Q#583 - >seq4582	superfamily	407771	175	223	4.46663e-11	56.5014	cl39036	Integrase_H2C2 superfamily	C	 - 
Q#584 - >seq4583	superfamily	411202	4	114	2.37319e-05	41.4224	cl41329	transpos_IS481 superfamily	N	 - 
Q#591 - >seq4590	superfamily	413489	1154	1335	3.80568e-79	259065	cl02808	RT_like superfamily	 - 	 - 
Q#591 - >seq4590	superfamily	417494	1429	1548	6.88612e-57	193093	cl14782	RNase_H_like superfamily	 - 	 - 
Q#591 - >seq4590	superfamily	407771	1863	1920	4.39272e-15	71139	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#591 - >seq4590	superfamily	411202	1918	2089	5.79832e-08	56.4452	cl41329	transpos_IS481 superfamily	N	 - 
Q#597 - >seq4596	superfamily	227414	30	65	0.00728322	34056	cl34894	AIR1 superfamily	NC	 - 
Q#599 - >seq4598	superfamily	417494	65	183	3.99219e-46	151106	cl14782	RNase_H_like superfamily	 - 	 - 
Q#600 - >seq4599	superfamily	407771	54	111	7.53138e-12	57657	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#610 - >seq4609	superfamily	413489	39	113	1.74081e-19	79.2574	cl02808	RT_like superfamily	C	 - 
Q#611 - >seq4610	superfamily	413489	73	192	1.72626e-18	83.8798	cl02808	RT_like superfamily	N	 - 
Q#619 - >seq4618	superfamily	412125	89	154	4.36001e-18	74.2243	cl00035	BIR superfamily	 - 	 - 
Q#620 - >seq4619	superfamily	412920	15	155	2.77129e-28	104632	cl01481	DDE_Tnp_IS1595 superfamily	N	 - 
Q#621 - >seq4620	superfamily	412125	20	90	2.25716e-16	70.7554	cl00035	BIR superfamily	 - 	 - 
Q#621 - >seq4620	superfamily	418438	177	223	2,376E-07	54.3907	cl17238	RING_Ubox superfamily	 - 	 - 
Q#629 - >seq4628	superfamily	371998	214	478	3.06197e-12	69.2163	cl13666	Baculo_F superfamily	N	 - 
Q#631 - >seq4630	superfamily	413489	337	473	3.68005e-37	135.51	cl02808	RT_like superfamily	C	 - 
Q#631 - >seq4630	superfamily	416259	60	211	9.66024e-16	74.5799	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#645 - >seq4644	superfamily	227414	236	345	2.15856e-06	47538	cl34894	AIR1 superfamily	N	 - 
Q#645 - >seq4644	superfamily	173561	133	292	1.86047e-05	44.0273	cl31762	PTZ00368 superfamily	 - 	 - 
Q#646 - >seq4645	superfamily	413489	381	447	2.14873e-20	88.0361	cl02808	RT_like superfamily	C	 - 
Q#647 - >seq4646	superfamily	413489	1	116	5.57705e-56	173.55	cl02808	RT_like superfamily	N	 - 
Q#651 - >seq4650	superfamily	407771	78	135	6.50502e-16	72.6798	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#651 - >seq4650	superfamily	411202	133	302	1.30694e-10	63.3788	cl41329	transpos_IS481 superfamily	N	 - 
Q#654 - >seq4653	superfamily	412920	13	99	2.7464e-19	79594	cl01481	DDE_Tnp_IS1595 superfamily	N	 - 
Q#655 - >seq4654	superfamily	224117	175	332	9.76997e-05	45.0904	cl34174	Smc superfamily	NC	 - 
Q#656 - >seq4655	superfamily	412407	60	205	5.47244e-08	50.8222	cl00490	EEP superfamily	 - 	 - 
Q#657 - >seq4656	superfamily	413489	189	403	5.57202e-42	147053	cl02808	RT_like superfamily	C	 - 
Q#659 - >seq4658	superfamily	413489	373	554	5.55076e-84	272161	cl02808	RT_like superfamily	 - 	 - 
Q#659 - >seq4658	superfamily	417494	648	767	6.5835e-57	192322	cl14782	RNase_H_like superfamily	 - 	 - 
Q#659 - >seq4658	superfamily	407771	1082	1139	2.74533e-15	71139	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#659 - >seq4658	superfamily	411202	1137	1308	3.6105e-08	56.4452	cl41329	transpos_IS481 superfamily	N	 - 
Q#668 - >seq4667	superfamily	407771	224	281	1.32331e-16	73.8354	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#668 - >seq4667	superfamily	411202	279	450	3.20617e-11	64.1492	cl41329	transpos_IS481 superfamily	N	 - 
Q#682 - >seq4681	superfamily	412407	31	198	2.20986e-06	46.1309	cl00490	EEP superfamily	 - 	 - 
Q#684 - >seq4683	superfamily	413489	3	262	4.44214e-49	169009	cl02808	RT_like superfamily	 - 	 - 
Q#691 - >seq4690	superfamily	173561	271	368	1.82121e-05	44.4125	cl31762	PTZ00368 superfamily	N	 - 
Q#692 - >seq4691	superfamily	413489	455	537	1.80303e-16	78.1584	cl02808	RT_like superfamily	C	 - 
Q#692 - >seq4691	superfamily	413489	350	413	1.45505e-08	55.0464	cl02808	RT_like superfamily	C	 - 
Q#694 - >seq4693	superfamily	413489	21	246	1.26001e-49	164691	cl02808	RT_like superfamily	N	 - 
Q#694 - >seq4693	superfamily	407769	309	376	1.07706e-29	109887	cl39038	RT_RNaseH_2 superfamily	C	 - 
Q#698 - >seq4697	superfamily	416259	262	312	6.46521e-06	43.8644	cl11403	pepsin_retropepsin_like superfamily	C	 - 
Q#698 - >seq4697	superfamily	281552	2	53	0.00119357	38.5809	cl04160	DUF1759 superfamily	N	 - 
Q#700 - >seq4699	superfamily	413489	2	136	3.03869e-49	158237	cl02808	RT_like superfamily	C	 - 
Q#701 - >seq4700	superfamily	398835	51	168	6.1094e-48	152607	cl05112	Peptidase_A17 superfamily	C	 - 
Q#703 - >seq4702	superfamily	407771	92	143	0.000893351	35.7006	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#704 - >seq4703	superfamily	408478	210	247	1.84875e-10	55.9425	cl40017	DUF5641 superfamily	C	 - 
Q#714 - >seq4713	superfamily	173561	331	428	8.76838e-06	45.5681	cl31762	PTZ00368 superfamily	N	 - 
Q#715 - >seq4714	superfamily	413489	373	554	9.64719e-86	268309	cl02808	RT_like superfamily	 - 	 - 
Q#715 - >seq4714	superfamily	407767	642	741	2.76592e-49	168068	cl39037	RT_RNaseH superfamily	 - 	 - 
Q#721 - >seq4720	superfamily	417494	1	83	1.70512e-23	87.1629	cl14782	RNase_H_like superfamily	N	 - 
Q#723 - >seq4722	superfamily	371998	4	60	0.000522858	38.7855	cl13666	Baculo_F superfamily	C	 - 
Q#724 - >seq4723	superfamily	371998	30	335	0,002006	49.5711	cl13666	Baculo_F superfamily	NC	 - 
Q#735 - >seq4734	superfamily	413489	90	271	1.79486e-84	260.22	cl02808	RT_like superfamily	 - 	 - 
Q#735 - >seq4734	superfamily	417494	366	484	1.23837e-59	193478	cl14782	RNase_H_like superfamily	 - 	 - 
Q#736 - >seq4735	superfamily	411202	170	340	1.41373e-19	86.8759	cl41329	transpos_IS481 superfamily	N	 - 
Q#736 - >seq4735	superfamily	407771	115	173	2.61827e-16	71.9094	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#738 - >seq4737	superfamily	412125	82	148	4.73935e-20	79.2319	cl00035	BIR superfamily	 - 	 - 
Q#739 - >seq4738	superfamily	412125	55	112	7.35883e-07	44.6156	cl00035	BIR superfamily	 - 	 - 
Q#740 - >seq4739	superfamily	412125	23	94	1.31589e-18	76.5355	cl00035	BIR superfamily	 - 	 - 
Q#740 - >seq4739	superfamily	418438	176	222	1.56699e-05	41.3324	cl17238	RING_Ubox superfamily	N	 - 
Q#741 - >seq4740	superfamily	412125	9	78	3.63598e-16	69.9871	cl00035	BIR superfamily	 - 	 - 
Q#741 - >seq4740	superfamily	418438	165	212	1.62259e-11	57.0871	cl17238	RING_Ubox superfamily	 - 	 - 
Q#742 - >seq4741	superfamily	418438	127	170	3.23081e-07	45.1459	cl17238	RING_Ubox superfamily	 - 	 - 
Q#742 - >seq4741	superfamily	412125	5	70	3.84833e-05	39.9932	cl00035	BIR superfamily	 - 	 - 
Q#747 - >seq4746	superfamily	371998	198	391	7.57238e-09	58.4307	cl13666	Baculo_F superfamily	NC	 - 
Q#748 - >seq4747	superfamily	421690	14	224	1.20195e-12	66.2407	cl28899	DEAD-like_helicase_N superfamily	N	 - 
Q#749 - >seq4748	superfamily	365791	26	67	1.92498e-06	42.1636	cl38915	DEAD-like_helicase_C superfamily	N	 - 
Q#750 - >seq4749	superfamily	227847	1	117	6.11547e-05	41.4072	cl35019	UBP12 superfamily	N	 - 
Q#751 - >seq4750	superfamily	227414	402	534	0.000197875	42.5304	cl34894	AIR1 superfamily	NC	 - 
Q#752 - >seq4751	superfamily	413489	373	554	7.83017e-81	254442	cl02808	RT_like superfamily	 - 	 - 
Q#752 - >seq4751	superfamily	407769	617	683	1.6e-27	106805	cl39038	RT_RNaseH_2 superfamily	C	 - 
Q#752 - >seq4751	superfamily	416259	64	147	0.00189275	37.9372	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#753 - >seq4752	superfamily	411202	34	215	3.33019e-14	71.8531	cl41329	transpos_IS481 superfamily	N	 - 
Q#753 - >seq4752	superfamily	407771	2	46	4.8018e-12	60.3534	cl39036	Integrase_H2C2 superfamily	N	 - 
Q#758 - >seq4757	superfamily	281552	23	149	4.9968e-18	75.56	cl04160	DUF1759 superfamily	 - 	 - 
Q#760 - >seq4759	superfamily	413489	284	369	8.89199e-42	145525	cl02808	RT_like superfamily	C	 - 
Q#760 - >seq4759	superfamily	416259	6	158	3.24743e-07	49.5419	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#761 - >seq4760	superfamily	398835	138	298	6.76598e-70	213853	cl05112	Peptidase_A17 superfamily	 - 	 - 
Q#761 - >seq4760	superfamily	413489	2	122	2.68849e-29	110857	cl02808	RT_like superfamily	N	 - 
Q#763 - >seq4762	superfamily	408478	504	590	1.01147e-35	129.13	cl40017	DUF5641 superfamily	 - 	 - 
