Sequence	LTR5	LTR3	TSR	PPT	pos_gag	pos_protease	pos_rnase	pos_rt	pos_integrase	pos_transposase
camponotus_floridanus_NW_020229537.1:60193-72325	NA	NA	NA	NA	NA	NA	NA	NA	2738-3268	2187-2837
camponotus_floridanus_NW_020229542.1:10184-31110	NA	NA	NA	NA	NA	NA	1576-1878, 6781-7500	1576-1878, 5825-6391, 15874-16617	2767-3279, 7968-8471	8414-8755
camponotus_floridanus_NW_020229546.1:19308-40213	NA	NA	NA	NA	NA	18821-14796	18821-14796	18821-14796	18821-14796	18821-14796
camponotus_floridanus_NW_020229567.1:1-13280	NA	NA	NA	NA	NA	11345-7101	11345-7101	11345-7101	11345-7101	11345-7101
camponotus_floridanus_NW_020229568.1:1-17890	NA	NA	NA	NA	NA	NA	14573-11748	17672-17004, 14573-11748	14573-11748	14573-11748
camponotus_floridanus_NW_020229571.1:74376-90815	NA	NA	NA	NA	NA	2931-6116	2931-6116	2931-6116	NA	NA
camponotus_floridanus_NW_020229581.1:1925576-1946442	NA	NA	NA	NA	NA	NA	NA	NA	NA	18471-19361, 4917-3832
camponotus_floridanus_NW_020229605.1:12569-33474	NA	NA	NA	NA	NA	7458-8432	NA	8456-8908	NA	NA
camponotus_floridanus_NW_020229605.1:49776-69855	NA	NA	NA	NA	NA	18781-14753	18781-14753	18781-14753	18781-14753	18781-14753
camponotus_floridanus_NW_020229611.1:53830-73755	NA	NA	NA	NA	NA	NA	15331-11750	15331-11750	15331-11750	15331-11750, 1933-851
camponotus_floridanus_NW_020229615.1:22807-43712	NA	NA	NA	NA	NA	NA	NA	NA	5189-6121	NA
camponotus_floridanus_NW_020229616.1:27966-43883	NA	NA	NA	NA	NA	NA	14565-11743	15008-14487, 14565-11743	14565-11743	NA
camponotus_floridanus_NW_020229617.1:5069-25962	NA	NA	NA	NA	NA	NA	NA	14975-14583	13544-13059, 5206-4181	13030-12638, 5206-4181
camponotus_floridanus_NW_020229618.1:2018-22917	NA	NA	NA	NA	NA	NA	NA	NA	13153-12092	13153-12092
camponotus_floridanus_NW_020229629.1:23647-40708	NA	NA	NA	NA	NA	NA	16927-16352, 16311-15901	16927-16352	NA	14947-14264
camponotus_floridanus_NW_020229645.1:253-21158	NA	NA	NA	NA	NA	2114-2899	2875-6576	2875-6576	2875-6576	2875-6576, 20896-20009
camponotus_floridanus_NW_020229663.1:4695-25555	NA	NA	NA	NA	NA	NA	NA	NA	5600-6694	5600-6694
camponotus_floridanus_NW_020229665.1:1-14569	NA	NA	NA	NA	NA	12622-8378	12622-8378	12622-8378	12622-8378	12622-8378
camponotus_floridanus_NW_020229676.1:1-16224	NA	NA	NA	NA	NA	343-4482	343-4482	343-4482	343-4482	NA
camponotus_floridanus_NW_020229679.1:17286-29567	NA	NA	NA	NA	NA	NA	NA	2662-1208	NA	NA
camponotus_floridanus_NW_020229683.1:1-16995	NA	NA	NA	NA	NA	14865-10888	14865-10888	14865-10888	14865-10888	NA
camponotus_floridanus_NW_020229813.1:1-12897	NA	NA	NA	NA	NA	NA	1122-2849	8-997, 1122-2849	2837-3931	2837-3931
cephus_cinctus_NW_014332819.1:1-14740	NA	NA	NA	NA	NA	NA	NA	NA	35-1288	NA
cephus_cinctus_NW_014332969.1:1-12923	NA	NA	NA	NA	NA	7414-7055	6365-4032	6365-4032	4624-3857, 3810-3511	NA
cephus_cinctus_NW_014333061.1:16961-38763	NA	NA	NA	NA	NA	NA	NA	4504-4016, 3956-3591	8014-9177, 2684-1956	8014-9177
cephus_cinctus_NW_014333126.1:1-12084	NA	NA	NA	NA	NA	7870-10314	10336-10899, 10939-12084	7870-10314, 10336-10899	10939-12084	NA
cephus_cinctus_NW_014333170.1:1-14351	NA	NA	NA	NA	NA	NA	NA	10092-10391, 10360-11043, 11269-11637	NA	NA
cephus_cinctus_NW_014333275.1:1-14869	NA	NA	NA	NA	NA	NA	NA	NA	3534-5720	3534-5720
cephus_cinctus_NW_014334081.1:7375-28274	NA	NA	NA	NA	NA	NA	NA	NA	NA	6265-6606, 6555-7313
cinara_cedri_CABPRJ010001454.1:5168-25686	NA	NA	NA	NA	NA	NA	NA	12416-11613	NA	NA
cinara_cedri_CABPRJ010001900.1:67196-87657	NA	NA	NA	NA	NA	NA	1013-1372	NA	NA	NA
culex_pipiens_pallens_NW_024109004.1:555841-577559	3365:3907	11835:12377	3360:3364/12378:12382	11742:11756	4487-11788	4487-11788	NA	4487-11788	4487-11788	NA
culex_pipiens_pallens_NW_024109043.1:277988-299706	NA	NA	NA	NA	2251-4179	2251-4179, 6434-11788	NA	6434-11788	6434-11788	NA
culex_pipiens_pallens_NW_024109046.1:1044778-1066742	8576:9310	14223:14960	8571:8575/14961:14965	9331:9345	NA	NA	NA	NA	NA	NA
culex_pipiens_pallens_NW_024109060.1:1175102-1197015	4897:5252	20627:20982	4893:4896/20983:20986	5253:5267	21825-21031, 17263-10001	17263-10001	NA	17263-10001	17263-10001	NA
culex_pipiens_pallens_NW_024109077.1:813205-834923	9343:9885	17797:18339	9338:9342/18340:18344	9964:9978	17041-9932	17041-9932	NA	17041-9932	17041-9932	NA
culex_pipiens_pallens_NW_024109200.1:1-12385	19:551	8480:9012	14:18/9013:9017	630:644	7707-598	7707-598	NA	7707-598	7707-598	NA
culex_pipiens_pallens_NW_024109213.1:526597-548510	1693:2402	12540:13249	1688:1692/13250:13254	12452:12466	4652-11914	4652-11914	NA	4652-11914	4652-11914	NA
culex_pipiens_pallens_NW_024109334.1:351915-373633	9343:9885	17817:18359	9338:9342/18360:18364	9964:9978	17041-9932	17041-9932	NA	17041-9932	17041-9932	NA
culex_pipiens_pallens_NW_024109674.1:1-15641	NA	NA	NA	NA	10963-3668	10963-3668	NA	10963-3668	NA	NA
culex_pipiens_pallens_NW_024109703.1:104229-126052	8826:9029	17588:17791	8821:8825/17792:17796	17573:17587	NA	16833-17372, 14845-9851	NA	14845-9851	14845-9851	NA
culex_pipiens_pallens_NW_024109703.1:109075-130058	3980:4183	12742:12945	3975:3979/12946:12950	12727:12741	NA	11987-12526, 9999-5005	NA	9999-5005	9999-5005	NA
culex_pipiens_pallens_NW_024109766.1:135893-157053	3246:3589	12044:12387	3241:3245/12388:12392	11990:12004	4326-10013	4326-10013	NA	4326-10013	4326-10013	NA
culex_pipiens_pallens_NW_024110117.1:1-12354	NA	NA	NA	NA	7868-567	7868-567	NA	7868-567	7868-567	NA
cyphomyrmex_costatus_NW_017275046.1:45309-67375	NA	NA	NA	NA	NA	NA	5975-9160	5975-9160	5975-9160, 9130-9993	NA
cyphomyrmex_costatus_NW_017275161.1:35989-58028	NA	NA	NA	NA	NA	18982-20532	5838-8996, 21175-22038	5838-8996, 18982-20532	5838-8996, 21175-22038	9090-9941
cyphomyrmex_costatus_NW_017275161.1:36046-57308	NA	NA	NA	NA	NA	18925-20475	5781-8939	5781-8939, 18925-20475	5781-8939	9033-9884
cyphomyrmex_costatus_NW_017275173.1:8147-29499	NA	NA	NA	NA	NA	NA	15518-12300	15518-12300	15518-12300	1192-1575, 12145-11834
cyphomyrmex_costatus_NW_017275314.1:1-12858	NA	NA	NA	NA	NA	8891-6396	6245-3795	8891-6396, 6245-3795	12835-11861, 6245-3795	12835-11861
cyphomyrmex_costatus_NW_017275315.1:1115609-1137318	NA	NA	NA	NA	NA	NA	15736-14912	16789-15782, 5961-4357, 4297-3857	NA	12492-12136
cyphomyrmex_costatus_NW_017275547.1:6327-28330	NA	NA	NA	NA	21414-22004	5061-9971	5061-9971	5061-9971	5061-9971	5061-9971
cyphomyrmex_costatus_NW_017276402.1:59722-81725	2332:3921	12056:13645	2328:2331/13646:13649	12041:12055	NA	5882-6532	7575-9599	7186-7488, 17978-16254	7575-9599	7575-9599
cyphomyrmex_costatus_NW_017276608.1:1-13335	NA	NA	NA	NA	NA	NA	NA	NA	2972-4387	NA
cyphomyrmex_costatus_NW_017276801.1:1-14728	NA	NA	NA	NA	NA	NA	7848-7414	9896-8490, 8483-7803	6595-4751	NA
cyphomyrmex_costatus_NW_017277232.1:96879-117661	NA	NA	NA	NA	NA	NA	3248-4051	3248-4051	4654-5250	4654-5250
cyphomyrmex_costatus_NW_017277578.1:24303-46321	NA	NA	NA	NA	NA	16125-14371, 5301-2923	16125-14371, 14419-14066, 2871-313	16125-14371, 14419-14066, 2871-313	13986-12970, 12963-12025, 2871-313	NA
cyphomyrmex_costatus_NW_017277687.1:22367-44136	NA	NA	NA	NA	NA	NA	21268-18983, 15548-14298, 14134-12035	15548-14298	21268-18983, 14134-12035	NA
cyphomyrmex_costatus_NW_017277720.1:79783-100622	NA	NA	NA	NA	NA	NA	5003-8902	5003-8902	5003-8902	NA
cyphomyrmex_costatus_NW_017278716.1:1981-23945	NA	NA	NA	NA	NA	18883-17639	16948-16103	18883-17639, 17632-17246	13466-12033	NA
cyphomyrmex_costatus_NW_017278716.1:2026-24005	NA	NA	NA	NA	NA	18838-17594	16903-16058	18838-17594, 17587-17201	13421-11988	NA
cyphomyrmex_costatus_NW_017279084.1:95760-117679	NA	NA	NA	NA	NA	NA	6521-7534, 7552-8064	6521-7534	8100-9467	8100-9467
cyphomyrmex_costatus_NW_017279244.1:502025-523881	NA	NA	NA	NA	NA	NA	8282-8581	NA	NA	8619-8972, 6174-5782
cyphomyrmex_costatus_NW_017279343.1:2274-17755	4340:4982	8971:9613	4335:4339/9614:9618	8927:8941	NA	NA	1090-2628	NA	4325-4993, 8551-9984	NA
cyphomyrmex_costatus_NW_017279637.1:9478-31490	3071:4617	12048:13594	3067:3070/13595:13598	11990:12004	NA	NA	6162-9971	6162-9971, 600-1	6162-9971	NA
cyphomyrmex_costatus_NW_017279671.1:8758-29798	NA	NA	NA	NA	NA	NA	7434-9980	6728-7087	7434-9980	7434-9980
cyphomyrmex_costatus_NW_017279900.1:2276-24261	NA	NA	NA	NA	NA	NA	NA	NA	8425-9141	NA
cyphomyrmex_costatus_NW_017280214.1:140654-161463	NA	NA	NA	NA	NA	NA	18005-17646	18477-18052, 18005-17646	938-1264, 16573-15983	938-1264
cyphomyrmex_costatus_NW_017280575.1:11196-33208	3071:4617	12048:13594	3067:3070/13595:13598	11990:12004	NA	NA	6162-9971	6162-9971	6162-9971	NA
cyphomyrmex_costatus_NW_017280585.1:2668-24323	NA	NA	NA	NA	NA	15817-14150	14086-13316	15817-14150	13359-11656	13359-11656
diachasma_alloeum_NW_021680380.1:312721-334298	NA	NA	NA	NA	16803-17261	5517-6248	6143-9886	6143-9886	6143-9886	6143-9886
diachasma_alloeum_NW_021680380.1:322284-343861	NA	NA	NA	NA	7240-7698	NA	18471-19751	18471-19751	7748-9886, 20344-21267	7748-9886, 17189-18016
diachasma_alloeum_NW_021680383.1:305850-327427	NA	NA	NA	NA	NA	NA	NA	19769-20929	8643-9035	8974-9585
diachasma_alloeum_NW_021680394.1:389647-403825	NA	NA	NA	NA	NA	NA	2565-3212	1809-2540, 2565-3212	3363-4736	3363-4736
diachasma_alloeum_NW_021680423.1:83560-105137	NA	NA	NA	NA	NA	NA	15511-13235	15511-13235	NA	13293-11713
diachasma_alloeum_NW_021680456.1:182768-204339	NA	NA	NA	NA	NA	NA	14251-13667	14667-14245	13615-12671	12667-12056
diachasma_alloeum_NW_021680456.1:643118-664692	NA	NA	NA	NA	NA	NA	14863-11681	16085-14853, 14863-11681	14863-11681	14863-11681
diachasma_alloeum_NW_021680458.1:137869-159344	5:956	14701:15652	NOTFOUND	14634:14648	NA	2636-5341	2636-5341	2636-5341	7581-9506	7581-9506
diachasma_alloeum_NW_021680458.1:244519-265904	NA	NA	NA	NA	NA	NA	NA	NA	13997-13653, 12616-11825	NA
diachasma_alloeum_NW_021680470.1:1-20251	33:1286	11012:12265	NOTFOUND	10983:10997	NA	NA	4692-5693, 5981-6505, 14109-15509	3328-4584, 4692-5693, 14109-15509	7474-8559, 16782-17639	7474-8559, 17661-18269
diachasma_alloeum_NW_021680489.1:404308-425594	NA	NA	NA	NA	NA	668-1576	6740-9886	1576-2079, 6740-9886	4241-6589, 6740-9886	6740-9886
diachasma_alloeum_NW_021680496.1:585162-597517	NA	NA	NA	NA	NA	5549-6262	NA	6232-7203	NA	8892-9566
diachasma_alloeum_NW_021680578.1:94019-115440	1970:3801	12657:14468	1966:1969/14469:14472	3834:3848	NA	NA	NA	5416-7245	NA	8739-9746
diachasma_alloeum_NW_021680643.1:102434-124008	NA	NA	NA	NA	NA	NA	7072-7602	6245-7060	8844-9254	9122-9571
diachasma_alloeum_NW_021680654.1:87945-109519	NA	NA	NA	NA	4795-6168	6336-7019, 18820-19500	NA	18820-19500, 16076-14304	13699-11690	13699-11690
diachasma_alloeum_NW_021680662.1:193109-214686	NA	NA	NA	NA	457-1518	1525-2454, 2539-4116	18697-16853, 16034-12906	2539-4116, 20804-17319, 16034-12906	4349-5395	4349-5395, 12659-11958
diachasma_alloeum_NW_021680662.1:34350-55918	NA	NA	NA	NA	NA	NA	2707-5544	2707-5544	2707-5544	2707-5544
diachasma_alloeum_NW_021680700.1:29016-50596	NA	NA	NA	NA	NA	NA	806-3319	806-3319	3389-4603	3389-4603
diachasma_alloeum_NW_021680731.1:81482-103059	NA	NA	NA	NA	NA	NA	15835-11693	656-1114, 15835-11693, 7006-6353	15835-11693	15835-11693
diachasma_alloeum_NW_021680762.1:81450-103027	NA	NA	NA	NA	NA	NA	NA	NA	13342-12674	12619-12278
diachasma_alloeum_NW_021680791.1:186185-207762	NA	NA	NA	NA	NA	NA	18409-11693	18409-11693	18409-11693	18409-11693
diachasma_alloeum_NW_021680801.1:102450-123784	NA	NA	NA	NA	NA	NA	3929-4777	21117-20779, 20900-19584	8630-9208	NA
diachasma_alloeum_NW_021680810.1:112795-134129	NA	NA	NA	NA	NA	20522-19098	NA	20522-19098	NA	6840-7400
diachasma_alloeum_NW_021680886.1:56031-77500	NA	NA	NA	NA	NA	NA	NA	16911-15571, 15575-15084, 1211-3	12778-9464	12778-9464, 5727-5305
diachasma_alloeum_NW_021680939.1:1-21180	16346:16452	18020:18130	16342:16345/18131:18134	17927:17941	NA	NA	5115-9488	5115-9488	5115-9488	5115-9488
diachasma_alloeum_NW_021680988.1:72166-93743	NA	NA	NA	NA	NA	NA	NA	NA	8081-9880	8081-9880
diachasma_alloeum_NW_021681033.1:71537-92979	7737:9446	17452:19087	7733:7736/19088:19091	9517:9531	NA	NA	14218-13085	2073-3722, 15764-14154, 14218-13085	NA	NA
diachasma_alloeum_NW_021681046.1:165270-177730	NA	NA	NA	NA	2-976	2-976, 2093-2596	NA	1626-2153	3111-3560	NA
diachasma_alloeum_NW_021681065.1:105293-126870	NA	NA	NA	NA	NA	NA	1399-3621, 16624-16974	1399-3621	NA	NA
diachasma_alloeum_NW_021681066.1:9759-31339	NA	NA	NA	NA	NA	NA	19326-17632	19326-17632	17495-16476	17495-16476
diachasma_alloeum_NW_021681102.1:1-16891	NA	NA	NA	NA	NA	1918-4011	1918-4011	1918-4011	4113-5204	4113-5204
diachasma_alloeum_NW_021681230.1:25563-47131	NA	NA	NA	NA	1807-2292	2831-3937, 3956-4864	14513-12360	2831-3937, 3956-4864, 14513-12360	4868-6646, 12372-11611	4868-6646
diachasma_alloeum_NW_021681243.1:1456-7754	NA	NA	NA	NA	NA	NA	4488-115	4488-115	4488-115	4488-115
diachasma_alloeum_NW_021681288.1:9324-26281	NA	NA	NA	NA	NA	NA	10514-11179	NA	NA	NA
eufriesea_mexicana_NW_016907970.1:271392-292669	NA	NA	NA	NA	NA	17806-17471	21239-20901, 16413-15685, 7221-6874	16413-15685, 4543-4229	NA	1247-813
eufriesea_mexicana_NW_016908258.1:98346-119551	NA	NA	NA	NA	NA	NA	NA	12776-13402, 5322-4852, 3695-2970, 2936-2436	NA	NA
eufriesea_mexicana_NW_016909960.1:387551-408741	NA	NA	NA	NA	NA	NA	13609-13226	6918-7223, 14314-13694, 13609-13226	NA	NA
eufriesea_mexicana_NW_016914852.1:8188-29459	NA	NA	NA	NA	NA	12928-13884	15199-15735	14106-14855, 5668-5360	8806-9936, 15680-16561, 4471-3989	NA
eufriesea_mexicana_NW_016935052.1:1-7159	NA	NA	NA	NA	NA	NA	5706-1996	5706-1996	5706-1996	5706-1996
habropoda_laboriosa_NW_017100133.1:26349-47869	2733:3871	12007:13168	2729:2732/13169:13172	11992:12006	1319-678	6060-7385	7979-11950	6060-7385, 7343-7822	7979-11950, 20710-20309	7979-11950, 412-56
habropoda_laboriosa_NW_017100133.1:27087-48019	1995:3133	11269:12430	1991:1994/12431:12434	11254:11268	581-3	5322-6647	7241-11212	5322-6647, 6605-7084	7241-11212, 19972-19571	7241-11212
habropoda_laboriosa_NW_017100133.1:34843-55991	NA	NA	NA	NA	15480-20417	15480-20417	13397-12957	15480-20417, 14071-13331	124-3456, 15480-20417, 12216-11815	124-3456
habropoda_laboriosa_NW_017100158.1:335788-350905	NA	NA	NA	NA	775-413	6767-6312	NA	NA	14997-14221, 12796-11963, 6280-5441	14997-14221, 12796-11963, 2621-2145
habropoda_laboriosa_NW_017100159.1:434174-455103	NA	NA	NA	NA	NA	NA	NA	NA	NA	8324-7296
habropoda_laboriosa_NW_017100283.1:25130-46059	NA	NA	NA	NA	NA	NA	14918-14424, 14380-10001	17897-17367, 17424-16921	14380-10001	NA
habropoda_laboriosa_NW_017100326.1:56277-78316	NA	NA	NA	NA	NA	18420-17254	17240-16311	18420-17254, 17240-16311	15771-15343, 14306-14001, 13840-11999	13840-11999, 9010-8258, 4615-3569, 3179-1374
habropoda_laboriosa_NW_017100542.1:117724-139301	NA	NA	NA	NA	NA	NA	7120-9858	7120-9858	7120-9858, 19289-18807, 4474-3614	21551-20556, 19289-18807, 16808-16011, 13136-12732, 4923-4585, 3242-1848
habropoda_laboriosa_NW_017100814.1:103119-116698	NA	NA	NA	NA	NA	NA	NA	NA	12312-11884	11884-10001, 1199-759
habropoda_laboriosa_NW_017100933.1:1759-9271	NA	NA	NA	NA	NA	2145-2534	2471-6574	2471-6574	2471-6574	2471-6574
habropoda_laboriosa_NW_017101288.1:13477-15216	NA	NA	NA	NA	NA	NA	NA	NA	NA	856-1740
harpegnathos_saltator_NW_020229876.1:1-14226	1556:2500	7595:8540	1552:1555/8541:8544	2501:2515	NA	10320-9433	NA	NA	7470-6424	NA
harpegnathos_saltator_NW_020229876.1:32814-54541	NA	NA	NA	NA	NA	NA	NA	NA	NA	14530-13925
harpegnathos_saltator_NW_020229899.1:222601-244148	NA	NA	NA	NA	NA	NA	NA	NA	2045-2596, 16797-17555, 18614-17691	3428-4174, 18614-17691
harpegnathos_saltator_NW_020229917.1:686740-708425	NA	NA	NA	NA	NA	NA	21473-20433	21473-20433	NA	19413-18922
harpegnathos_saltator_NW_020229920.1:40437-62161	NA	NA	NA	NA	NA	NA	3472-7824	3472-7824	3472-7824	NA
harpegnathos_saltator_NW_020229932.1:1-19446	NA	NA	NA	NA	NA	2256-2981	4040-6016	4040-6016	6207-7433	6207-7433
harpegnathos_saltator_NW_020229932.1:16410-37708	NA	NA	NA	NA	NA	NA	14435-12987	15378-15013, 15013-14714	NA	12702-12169
harpegnathos_saltator_NW_020229932.1:17295-38029	NA	NA	NA	NA	NA	NA	13550-12102	14493-14128, 14128-13829	NA	11817-11284
harpegnathos_saltator_NW_020229937.1:18248-38862	NA	NA	NA	NA	NA	NA	1885-1235	14145-13660, 3186-1891, 1885-1235	544-80	NA
harpegnathos_saltator_NW_020229937.1:6079-26693	NA	NA	NA	NA	NA	NA	14054-13404	15355-14060, 14054-13404	8108-8734, 12713-12249, 12212-11754, 1026-676	8108-8734, 1026-676
harpegnathos_saltator_NW_020229946.1:1138074-1159537	NA	NA	NA	NA	NA	17198-16578	15393-13162	15393-13162	13125-12481	13125-12481
harpegnathos_saltator_NW_020229948.1:665805-686527	NA	NA	NA	NA	NA	NA	6273-9713	6273-9713	6273-9713, 12779-12114	6273-9713
harpegnathos_saltator_NW_020229960.1:1-14057	2:956	12640:13604	NOTFOUND	957:971	NA	9783-9043	8219-5949	8219-5949	5827-4601	5827-4601
harpegnathos_saltator_NW_020229972.1:1-12426	NA	NA	NA	NA	NA	NA	NA	NA	323-1093, 8120-7662	323-1093, 8708-8184, 8120-7662
harpegnathos_saltator_NW_020229972.1:1-13446	NA	NA	NA	NA	NA	NA	NA	NA	323-1093, 12567-12139, 8120-7662	323-1093, 12567-12139, 8708-8184, 8120-7662
harpegnathos_saltator_NW_020229991.1:196514-217824	NA	NA	NA	NA	17691-16936	16881-15973, 15747-14176, 14503-13595	7144-7542	302-1054, 813-2156, 5958-6275, 6324-6776, 15747-14176	8002-8862, 13839-12430, 4968-4561	NA
harpegnathos_saltator_NW_020229995.1:134876-153584	NA	NA	NA	NA	NA	NA	5132-9775	5132-9775	5132-9775, 16688-16020	5132-9775
harpegnathos_saltator_NW_020229995.1:135197-153584	NA	NA	NA	NA	NA	NA	4811-9454	4811-9454	4811-9454, 16367-15699	4811-9454
harpegnathos_saltator_NW_020230004.1:221725-242453	NA	NA	NA	NA	NA	NA	13728-12460	13728-12460	12441-11212	12441-11212
harpegnathos_saltator_NW_020230004.1:231645-243816	NA	NA	NA	NA	NA	NA	3808-2540	3808-2540	2521-1292	2521-1292
harpegnathos_saltator_NW_020230016.1:128343-149071	NA	NA	NA	NA	NA	3149-3607	NA	6015-6461, 6471-7118	5107-5520, 8560-8979	5107-5520, 12702-13784, 14777-14223
harpegnathos_saltator_NW_020230032.1:113519-128733	NA	NA	NA	NA	NA	NA	15175-12008	15175-12008	5676-6287, 15175-12008	5676-6287, 6312-6713, 15175-12008
harpegnathos_saltator_NW_020230032.1:114572-128733	NA	NA	NA	NA	NA	NA	14122-10955	14122-10955	4623-5234, 14122-10955	4623-5234, 5259-5660, 14122-10955
harpegnathos_saltator_NW_020230045.1:578-22269	NA	NA	NA	NA	NA	3538-5325	5283-7967	3538-5325, 5283-7967	5283-7967	5283-7967
harpegnathos_saltator_NW_020230053.1:19406-40743	NA	NA	NA	NA	NA	16359-15922	14903-12384	15297-14881, 14903-12384	14903-12384	NA
harpegnathos_saltator_NW_020230058.1:277475-298935	NA	NA	NA	NA	NA	NA	6380-7192, 7276-7752	6380-7192	7568-8599	8503-9132
harpegnathos_saltator_NW_020230066.1:1-11220	NA	NA	NA	NA	NA	6990-5479	5467-4166, 4138-3143	5467-4166	3221-2403	2375-1944
harpegnathos_saltator_NW_020230066.1:73054-91720	NA	NA	NA	NA	NA	NA	14271-13744	NA	13775-12837	NA
harpegnathos_saltator_NW_020230068.1:196414-217097	NA	NA	NA	NA	NA	NA	15301-14597	4850-2280	NA	13501-13091
harpegnathos_saltator_NW_020230075.1:6144-27835	NA	NA	NA	NA	NA	NA	16475-13725	16475-13725	16475-13725	16475-13725
harpegnathos_saltator_NW_020230075.1:88500-105200	NA	NA	NA	NA	NA	NA	16253-14412	16642-16256, 16253-14412	16253-14412	14532-13726
harpegnathos_saltator_NW_020230076.1:1-12903	NA	NA	NA	NA	NA	8637-5947	5953-5054	8637-5947	12159-12902, 5156-3450	5156-3450
harpegnathos_saltator_NW_020230076.1:1-13224	NA	NA	NA	NA	NA	8637-5947	5953-5054	8637-5947	12159-13010, 5156-3450	12159-13010, 5156-3450
harpegnathos_saltator_NW_020230098.1:75562-96947	2889:3541	12599:13251	2885:2888/13252:13255	12584:12598	NA	4944-5615	6004-8073, 16431-15874	6004-8073	23-1015, 8121-9272	23-1015, 8121-9272
harpegnathos_saltator_NW_020230104.1:1-14346	NA	NA	NA	NA	NA	10511-9798	9446-7281	9446-7281	7329-6178	NA
harpegnathos_saltator_NW_020230119.1:1-15320	NA	NA	NA	NA	NA	NA	1003-1608	11158-11517, 11527-12771	2156-2566	NA
harpegnathos_saltator_NW_020230121.1:7936-26579	NA	NA	NA	NA	NA	2263-827	6400-8121, 18309-18644, 2263-827, 625-2	5568-6323, 6400-8121, 18309-18644, 2263-827	8481-8987, 625-2	8975-9709, 13636-13986
harpegnathos_saltator_NW_020230125.1:1-15299	NA	NA	NA	NA	NA	NA	NA	NA	NA	865-1395
harpegnathos_saltator_NW_020230140.1:66716-88173	1137:2385	12497:13745	1133:1136/13746:13749	12482:12496	NA	3977-4552	4637-9421	4637-9421	4637-9421	4637-9421, 19353-18583
harpegnathos_saltator_NW_020230144.1:1-12156	NA	NA	NA	NA	NA	7569-7111	4822-4463	7024-4889	4448-2382	4448-2382
harpegnathos_saltator_NW_020230150.1:1-12922	NA	NA	NA	NA	NA	NA	6518-4923	7355-6528, 6518-4923	4914-3187	4914-3187
harpegnathos_saltator_NW_020230159.1:19375-40058	NA	NA	NA	NA	NA	5045-5914	7045-7452	6110-6751	8456-9385	NA
harpegnathos_saltator_NW_020230163.1:295360-313191	NA	NA	NA	NA	NA	436-1131	14448-13510	15646-14966, 15009-14542	1465-2553, 13491-12178, 4780-3893	13491-12178, 4780-3893
harpegnathos_saltator_NW_020230163.1:296413-313191	NA	NA	NA	NA	NA	NA	13395-12457	14593-13913, 13956-13489	412-1500, 12438-11125, 3727-2840	12438-11125, 3727-2840
harpegnathos_saltator_NW_020230163.1:76064-96792	NA	NA	NA	NA	NA	NA	7592-9775	NA	7592-9775, 17763-17380	7592-9775, 18321-17842
harpegnathos_saltator_NW_020230166.1:255575-277092	NA	NA	NA	NA	NA	18013-16397	16333-15554, 15517-14213	18013-16397, 16333-15554	15517-14213	NA
harpegnathos_saltator_NW_020230176.1:2817-24277	6369:8272	18797:20700	6365:6368/20701:20704	8273:8287	NA	16801-15836	14214-13768, 13749-12205	15257-14208, 14214-13768	13749-12205, 5721-5014	13749-12205, 5721-5014
harpegnathos_saltator_NW_020230176.1:3018-23962	6168:8071	18596:20499	6164:6167/20500:20503	8072:8086	NA	16600-15635	14013-13567, 13548-12004	15056-14007, 14013-13567	13548-12004, 5520-4813	13548-12004, 5520-4813
harpegnathos_saltator_NW_020230194.1:208097-228822	NA	NA	NA	NA	NA	NA	7196-8413	NA	18234-17389, 11858-10812	11858-10812
harpegnathos_saltator_NW_020230195.1:63438-84163	NA	NA	NA	NA	NA	NA	12465-11971	12991-12653	14329-14886, 16981-16526, 15675-15079, 9562-8762	14329-14886, 15675-15079, 9562-8762
harpegnathos_saltator_NW_020230200.1:224132-236568	NA	NA	NA	NA	NA	NA	NA	NA	1729-1274	NA
harpegnathos_saltator_NW_020230206.1:201876-216209	2963:4093	12311:13472	NOTFOUND	12266:12280	NA	5691-9692	5691-9692	5691-9692	5691-9692	5691-9692
harpegnathos_saltator_NW_020230212.1:137266-151580	NA	NA	NA	NA	NA	NA	13559-12891	NA	6186-5497, 536-9	11785-10955, 6543-6202
harpegnathos_saltator_NW_020230224.1:9-18143	NA	NA	NA	NA	NA	17126-16737	14608-12008	15650-15132, 15201-14602	14608-12008	14608-12008
harpegnathos_saltator_NW_020230229.1:170048-186793	NA	NA	NA	NA	NA	NA	14470-12029	15395-14568	14470-12029	6610-7659, 14470-12029
harpegnathos_saltator_NW_020230234.1:1-16464	NA	NA	NA	NA	NA	NA	10178-7929	10178-7929	16156-16464, 10178-7929	7925-7011
harpegnathos_saltator_NW_020230243.1:163997-185334	NA	NA	NA	NA	NA	4978-5988	6912-7604	4978-5988, 17509-17958	7863-8384, 2336-1950, 2019-1672	2019-1672
harpegnathos_saltator_NW_020230253.1:81074-93940	NA	NA	NA	NA	NA	NA	NA	NA	12845-11757	12845-11757
harpegnathos_saltator_NW_020230291.1:1-12133	NA	NA	NA	NA	NA	NA	5672-2826	6634-5672, 5672-2826	5672-2826	NA
harpegnathos_saltator_NW_020230314.1:1-15926	NA	NA	NA	NA	NA	NA	NA	NA	2409-4169	2409-4169, 8597-9190
