order,family,specie,sequence,class/family,begin,end
Hymenoptera,Formicidae,Solenopsis invicta,NC_052667.1:7931534-7941534,Simple_repeat,3744,3842
Hymenoptera,Formicidae,Solenopsis invicta,NC_052667.1:7931534-7941534,Simple_repeat,3919,3949
Hymenoptera,Formicidae,Solenopsis invicta,NC_052667.1:7931534-7941534,Simple_repeat,4018,4085
Hymenoptera,Formicidae,Solenopsis invicta,NC_052667.1:7931534-7941534,Simple_repeat,4684,4717
Hymenoptera,Formicidae,Solenopsis invicta,NC_052667.1:7931534-7941534,Simple_repeat,7490,7514
Hymenoptera,Formicidae,Solenopsis invicta,NC_052667.1:7931534-7941534,Simple_repeat,9100,9164
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10420918-10430918,Simple_repeat,1906,1939
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10420918-10430918,LTR/Gypsy,6660,7907
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10420918-10430918,Low_complexity,7987,8013
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10420918-10430918,LTR/Gypsy,8936,9153
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,166,202
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,1114,1140
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Low_complexity,2252,2301
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,2386,2437
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,2576,2596
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Low_complexity,2776,2816
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Low_complexity,2911,2942
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,3114,3135
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,3412,3437
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,3462,3478
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,4544,4632
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,4983,5066
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,7081,7114
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,8431,8484
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,8491,8523
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,8746,8801
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,8846,8873
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,8923,8961
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:10432694-10442694,Simple_repeat,8962,8997
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,3275,3318
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,3319,3329
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,3646,3807
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,3808,3815
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,3872,3891
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,3891,3974
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,5308,5332
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,5333,5390
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,5391,5411
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,6538,6563
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,6841,6862
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,7034,7065
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,7160,7200
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,7354,7372
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,7372,7391
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,7551,7606
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,8838,8882
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28235464-28245464,Simple_repeat,9799,9835
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28247240-28257240,LTR/Gypsy,848,921
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28247240-28257240,Simple_repeat,1653,1706
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28247240-28257240,Simple_repeat,1988,2014
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28247240-28257240,LTR/Gypsy,2094,3341
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28247240-28257240,Low_complexity,9626,9654
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28482479-28492479,Low_complexity,4727,4767
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28482479-28492479,LTR/Gypsy,5741,6860
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28482479-28492479,LTR/Gypsy,7701,7875
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28494138-28503674,Simple_repeat,309,369
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28494138-28503674,Simple_repeat,370,391
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28494138-28503674,Simple_repeat,410,479
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28494138-28503674,Low_complexity,825,866
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28494138-28503674,Simple_repeat,881,942
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28494138-28503674,Simple_repeat,2425,2498
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28494138-28503674,Simple_repeat,7644,7721
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:28494138-28503674,Low_complexity,9476,9510
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:468950-478950,Simple_repeat,1167,1237
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:468950-478950,Simple_repeat,1415,1468
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:468950-478950,Low_complexity,3229,3258
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:468950-478950,Simple_repeat,4851,4920
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:468950-478950,Simple_repeat,6805,6888
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:468950-478950,Simple_repeat,9763,9783
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:480708-490708,LTR/Gypsy,1924,3236
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:480708-490708,Simple_repeat,7946,7967
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:5051406-5061406,Simple_repeat,5707,5724
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:5051406-5061406,Simple_repeat,8465,8516
Hymenoptera,Formicidae,Solenopsis invicta,NC_052668.1:5063053-5073053,Simple_repeat,3765,3786
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16573340-16583340,Simple_repeat,134,162
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16573340-16583340,Simple_repeat,524,561
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16573340-16583340,Simple_repeat,2713,2736
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16573340-16583340,Simple_repeat,3495,3545
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16573340-16583340,Low_complexity,5670,5772
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16573340-16583340,LTR/Gypsy,6484,7757
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16573340-16583340,Low_complexity,7879,7907
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16584969-16594969,Simple_repeat,2314,2343
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16584969-16594969,Simple_repeat,2344,2375
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16584969-16594969,Simple_repeat,2376,2397
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16584969-16594969,Simple_repeat,3784,3819
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16584969-16594969,Simple_repeat,4056,4104
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16584969-16594969,Simple_repeat,4153,4213
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16584969-16594969,Simple_repeat,4225,4246
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16584969-16594969,Low_complexity,4247,4275
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16584969-16594969,Simple_repeat,4317,4336
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16584969-16594969,Simple_repeat,4594,4638
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16584969-16594969,Simple_repeat,5863,5886
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:16584969-16594969,Simple_repeat,7378,7427
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:17832910-17842910,Simple_repeat,310,318
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:17832910-17842910,Simple_repeat,319,357
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:17832910-17842910,Simple_repeat,358,404
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:17832910-17842910,Simple_repeat,382,480
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:17832910-17842910,Simple_repeat,2115,2159
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:17832910-17842910,Simple_repeat,2606,2651
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:17832910-17842910,Simple_repeat,4253,4322
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:17832910-17842910,LTR/Gypsy,6694,7976
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:17844548-17854548,Simple_repeat,1287,1385
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:17844548-17854548,Low_complexity,2109,2153
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:17844548-17854548,Simple_repeat,5475,5534
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:17844548-17854548,Simple_repeat,7538,7604
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:17844548-17854548,Simple_repeat,9130,9153
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:17844548-17854548,Simple_repeat,9154,9206
Hymenoptera,Formicidae,Solenopsis invicta,NC_052669.1:17844548-17854548,Simple_repeat,9509,9543
Hymenoptera,Formicidae,Solenopsis invicta,NC_052670.1:5310887-5320887,Simple_repeat,4572,4618
Hymenoptera,Formicidae,Solenopsis invicta,NC_052670.1:5310887-5320887,Simple_repeat,4692,4734
Hymenoptera,Formicidae,Solenopsis invicta,NC_052670.1:5310887-5320887,Low_complexity,5444,5516
Hymenoptera,Formicidae,Solenopsis invicta,NC_052670.1:5310887-5320887,Simple_repeat,6117,6164
Hymenoptera,Formicidae,Solenopsis invicta,NC_052670.1:5310887-5320887,Simple_repeat,7030,7070
Hymenoptera,Formicidae,Solenopsis invicta,NC_052670.1:5310887-5320887,Simple_repeat,8560,8610
Hymenoptera,Formicidae,Solenopsis invicta,NC_052670.1:5322681-5332681,Simple_repeat,223,262
Hymenoptera,Formicidae,Solenopsis invicta,NC_052670.1:5322681-5332681,LTR/Gypsy,4897,5183
Hymenoptera,Formicidae,Solenopsis invicta,NC_052670.1:5322681-5332681,LTR/Gypsy,6107,7367
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15744481-15754481,Low_complexity,481,536
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15744481-15754481,LTR/Gypsy,5557,5885
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15756254-15766254,Low_complexity,2495,2523
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15756254-15766254,Simple_repeat,3131,3152
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15756254-15766254,Simple_repeat,3250,3268
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15756254-15766254,Simple_repeat,3489,3547
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15756254-15766254,Simple_repeat,3631,3673
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15756254-15766254,Low_complexity,3842,3900
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15756254-15766254,Simple_repeat,3932,3978
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15756254-15766254,Simple_repeat,5617,5646
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15756254-15766254,LTR/Gypsy,6974,7067
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15756254-15766254,LTR/Gypsy,7292,7614
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15756254-15766254,LTR/Gypsy,7766,7827
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15756254-15766254,LTR/Gypsy,8057,8167
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15756254-15766254,LTR/Gypsy,8259,8467
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15796217-15806217,Simple_repeat,334,352
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15796217-15806217,Simple_repeat,3153,3180
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15796217-15806217,Simple_repeat,5320,5352
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15796217-15806217,LTR/Gypsy,6766,8012
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15807918-15817918,Simple_repeat,1855,1882
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15969853-15979853,Simple_repeat,491,544
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15969853-15979853,Simple_repeat,927,954
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15969853-15979853,Simple_repeat,2544,2615
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15969853-15979853,Simple_repeat,2920,3021
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15969853-15979853,Low_complexity,3065,3093
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15969853-15979853,Low_complexity,4500,4558
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15969853-15979853,Simple_repeat,5857,5926
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15969853-15979853,Simple_repeat,6127,6173
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15969853-15979853,Simple_repeat,7420,7523
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15969853-15979853,Simple_repeat,9814,9862
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15981644-15991644,Simple_repeat,789,825
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15981644-15991644,Simple_repeat,1331,1355
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15981644-15991644,Simple_repeat,2963,3139
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15981644-15991644,Simple_repeat,5174,5225
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15981644-15991644,rRNA,6961,7022
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:15981644-15991644,Low_complexity,9298,9337
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:17507041-17517041,LTR/Gypsy,1324,2252
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:17507041-17517041,LTR/Gypsy,2348,2387
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:17507041-17517041,Simple_repeat,4676,4749
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:17507041-17517041,Simple_repeat,6483,6510
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:17507041-17517041,Simple_repeat,7017,7040
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:17507041-17517041,Simple_repeat,7041,7068
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:17507041-17517041,Simple_repeat,7069,7105
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:17507041-17517041,Simple_repeat,8157,8217
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:17507041-17517041,Simple_repeat,8427,8458
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:17507041-17517041,Simple_repeat,8799,8837
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:17518643-17528643,Simple_repeat,1953,1970
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:17518643-17528643,Simple_repeat,1971,2037
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:17518643-17528643,Simple_repeat,2038,2054
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:17518643-17528643,Simple_repeat,2230,2308
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:17518643-17528643,Simple_repeat,2652,2688
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19301787-19311787,Simple_repeat,4419,4462
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19301787-19311787,Simple_repeat,5542,5581
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19301787-19311787,Low_complexity,5862,5933
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19301787-19311787,Simple_repeat,6756,6786
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19301787-19311787,Low_complexity,6950,6989
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19301787-19311787,Simple_repeat,8685,8793
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19311916-19321916,LTR/Gypsy,3563,4830
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19311916-19321916,Simple_repeat,8684,8792
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19313575-19323575,LTR/Gypsy,1904,3171
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19313575-19323575,Simple_repeat,7025,7133
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19323704-19333704,LTR/Gypsy,1904,3171
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19323704-19333704,Simple_repeat,7025,7133
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19916089-19926089,Simple_repeat,762,780
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19916089-19926089,Simple_repeat,2640,2695
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19916089-19926089,Simple_repeat,6466,6503
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19916089-19926089,Simple_repeat,8119,8145
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19916089-19926089,Low_complexity,9375,9467
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19927280-19937280,Simple_repeat,1455,1521
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19927280-19937280,LTR/Pao,5687,5756
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19927280-19937280,LTR/Pao,6758,6970
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19927280-19937280,LTR/Pao,7682,7823
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:19927280-19937280,LTR/Pao,8952,9448
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24187126-24197126,Simple_repeat,272,322
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24187126-24197126,LTR/Gypsy,6660,7907
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24187126-24197126,Low_complexity,7987,8013
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24187126-24197126,LTR/Gypsy,8936,9153
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24198188-24208188,Simple_repeat,873,896
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24198188-24208188,Low_complexity,4458,4491
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24198188-24208188,Low_complexity,4617,4667
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24198188-24208188,Simple_repeat,5477,5499
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24198188-24208188,LTR/Gypsy,6829,7167
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24198188-24208188,LTR/Gypsy,7551,7611
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24198188-24208188,LTR/Gypsy,7688,8091
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24306722-24316722,LTR/Gypsy,5281,6535
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24306722-24316722,Low_complexity,6615,6641
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24306722-24316722,LTR/Gypsy,7564,7786
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24318336-24328336,Simple_repeat,1102,1130
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24318336-24328336,Simple_repeat,3175,3228
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24318336-24328336,Simple_repeat,5206,5273
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24318336-24328336,Simple_repeat,6267,6286
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24318336-24328336,Simple_repeat,6458,6489
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24318336-24328336,Simple_repeat,6584,6616
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24318336-24328336,Simple_repeat,6803,6824
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24318336-24328336,Simple_repeat,6926,6970
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24318336-24328336,Simple_repeat,6971,7022
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24318336-24328336,Simple_repeat,7023,7040
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24318336-24328336,Simple_repeat,7108,7157
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24318336-24328336,Simple_repeat,8269,8301
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:24318336-24328336,Simple_repeat,9140,9162
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25733564-25743564,LTR/Gypsy,6660,7907
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25733564-25743564,Low_complexity,7987,8013
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25733564-25743564,LTR/Gypsy,8936,9153
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Simple_repeat,166,201
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Simple_repeat,1119,1151
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Low_complexity,2263,2313
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Simple_repeat,2380,2389
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Simple_repeat,2390,2446
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Simple_repeat,2447,2490
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Low_complexity,2767,2807
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Low_complexity,2902,2933
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Simple_repeat,3105,3124
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Simple_repeat,3399,3424
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Simple_repeat,4517,4543
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Simple_repeat,4544,4571
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Simple_repeat,4572,4603
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Low_complexity,5946,6041
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Simple_repeat,6041,6060
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Simple_repeat,6682,6765
Hymenoptera,Formicidae,Solenopsis invicta,NC_052671.1:25745340-25755340,Simple_repeat,7272,7300
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:164393-174393,LTR/Gypsy,6660,7907
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:164393-174393,Low_complexity,7987,8013
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:164393-174393,LTR/Gypsy,8936,9153
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,166,201
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,1112,1136
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,2388,2439
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,2587,2607
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,2607,2626
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,2812,2840
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,2930,2966
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,3138,3157
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,3431,3456
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,4549,4589
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,4590,4623
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,4624,4666
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,6025,6056
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,6104,6125
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,6742,6823
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:176169-186169,Simple_repeat,7330,7351
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:5120267-5130267,Low_complexity,4015,4069
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:5120267-5130267,Simple_repeat,7638,7682
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:5132040-5142040,LTR/Gypsy,829,1052
Hymenoptera,Formicidae,Solenopsis invicta,NC_052673.1:5132040-5142040,Simple_repeat,1952,1980
